"ProcedureCall","PackageName","ProcedureName","ObjectRefs","ReadObjects","WriteObjects"
"PKG_AD.UPDATE_USERS","PKG_AD","UPDATE_USERS","T_USER; T_USER_MAPING; T_CURSOR; V_COUNT; T_EMAIL_ADDRESS; T_EMP_EMAILS; T_AU_REMARKS","T_USER_MAPING; T_USER; T_EMAIL_ADDRESS; T_EMP_EMAILS; T_AU_REMARKS","T_USER; T_USER_MAPING; T_EMAIL_ADDRESS; T_EMP_EMAILS"
"PKG_AD.RESET_USER_PASSWORD","PKG_AD","RESET_USER_PASSWORD","T_USER; T_CURSOR; V_ENT_TYPE; V_ENT_ID; V_EMP_CNIC_RAW; V_EMP_CNIC_NORM; V_CNIC_NORM; V_EMAIL_PRIMARY; V_EMAIL_BRANCH; V_EMP_NAME; T_AUDITEE_ENTITIES; T_AUDITEE_ENT_TYPES; V_SERVICE_EMPLOYEEINFO; V_EMAILS","T_USER; T_AUDITEE_ENTITIES; T_AUDITEE_ENT_TYPES; DUAL; V_SERVICE_EMPLOYEEINFO; V_EMAILS","PASSWORD; T_USER"
"PKG_AD.P_ADD_NEW_USER","PKG_AD","P_ADD_NEW_USER","T_CURSOR; T_USER_MAPING; T_USER; V_SERVICE_EMPLOYEEINFO","T_USER_MAPING; T_USER; V_SERVICE_EMPLOYEEINFO; DUAL","T_USER_MAPING; T_USER"
"PKG_AD.P_GET_OBSERVVATION_NO","PKG_AD","P_GET_OBSERVVATION_NO","T_CURSOR; T_AU_OBSERVATION","T_AU_OBSERVATION",""
"PKG_AD.P_UPDATE_OBSERVATION_NO","PKG_AD","P_UPDATE_OBSERVATION_NO","M_NO; T_CURSOR; T_AU_OBSERVATION","DUAL","T_AU_OBSERVATION"
"PKG_AD.P_UPDATE_ENG_DATE","PKG_AD","P_UPDATE_ENG_DATE","T_CURSOR; T_AU_PLAN_ENG","DUAL","T_AU_PLAN_ENG"
"PKG_AD.P_GET_ALLUSERS","PKG_AD","P_GET_ALLUSERS","T_USER; V_SERVICE_EMPLOYEEINFO; T_GROUPS; T_CURSOR; V_EMAIL; T_EMAIL_ADDRESS; T_AUDITEE_ENTITIES; V_GET_PARENT_OFFICE; T_AUDITEE_ENT_TYPES; T_USER_MAPING","V_SERVICE_EMPLOYEEINFO; T_USER; T_EMAIL_ADDRESS; T_AUDITEE_ENTITIES; V_GET_PARENT_OFFICE; T_AUDITEE_ENT_TYPES; T_USER_MAPING; T_GROUPS",""
"PKG_AD.P_GETALLTOPMENUS","PKG_AD","P_GETALLTOPMENUS","T_CURSOR; T_MENU","T_MENU",""
"PKG_AD.P_GETASSIGNEDMENUPAGES","PKG_AD","P_GETASSIGNEDMENUPAGES","T_MENU_PAGES_GROUPMAP; T_MENU_PAGES; T_CURSOR","T_MENU_PAGES; T_MENU_PAGES_GROUPMAP",""
"PKG_AD.P_ADDGROUPMENUITEMSASSIGNMENT","PKG_AD","P_ADDGROUPMENUITEMSASSIGNMENT","T_MENU_PAGES_GROUPMAP; T_AU_ROLE_API_PERMISSION; T_AU_API_MASTER","T_MENU_PAGES_GROUPMAP; T_AU_API_MASTER; T_AU_ROLE_API_PERMISSION","T_MENU_PAGES_GROUPMAP; T_AU_ROLE_API_PERMISSION"
"PKG_AD.P_REMOVEGROUPMENUITEMSASSIGNMENT","PKG_AD","P_REMOVEGROUPMENUITEMSASSIGNMENT","T_MENU_PAGES_GROUPMAP; T_AU_ROLE_API_PERMISSION; T_AU_API_MASTER","T_MENU_PAGES_GROUPMAP; T_AU_ROLE_API_PERMISSION; T_AU_API_MASTER","T_MENU_PAGES_GROUPMAP; T_AU_ROLE_API_PERMISSION"
"PKG_AD.P_GETALLMENUPAGES","PKG_AD","P_GETALLMENUPAGES","T_MENU_PAGES; T_CURSOR","T_MENU_PAGES",""
"PKG_AD.P_UPDATEALLMENUPAGES","PKG_AD","P_UPDATEALLMENUPAGES","T_MENU_PAGES","","T_MENU_PAGES"
"PKG_AD.P_GETGROUPS","PKG_AD","P_GETGROUPS","T_CURSOR; T_GROUPS","T_GROUPS",""
"PKG_AD.P_GETROLERESPONSIBILITIES","PKG_AD","P_GETROLERESPONSIBILITIES","T_CURSOR; T_HR_DESIGNATIONS","T_HR_DESIGNATIONS",""
"PKG_AD.P_GROUP_UPDATE","PKG_AD","P_GROUP_UPDATE","T_GROUPS","","T_GROUPS"
"PKG_AD.P_ADDGROUP","PKG_AD","P_ADDGROUP","T_GROUPS","T_GROUPS","T_GROUPS"
"PKG_AD.P_ADDAUDITENTITY","PKG_AD","P_ADDAUDITENTITY","T_AUDITEE_ENT_TYPES","T_AUDITEE_ENT_TYPES","T_AUDITEE_ENT_TYPES"
"PKG_AD.P_GETAUDITSUBENTITIES","PKG_AD","P_GETAUDITSUBENTITIES","T_CURSOR; T_AUDITEE_ENTITEE_SUBENTITY","T_AUDITEE_ENTITEE_SUBENTITY",""
"PKG_AD.P_UPDATEENTITIEES","PKG_AD","P_UPDATEENTITIEES","T_CURSOR; T_AUDITEE_ENTITIES; T_AUDITEE_ENTITIES_MAPING; AIS_T_AU_POST_COMPLIANCE; T_AU_PLAN_ENG; T_AUDITEE_ENTITIES_UPDATE_LOG","T_AUDITEE_ENTITIES_MAPING; T_AUDITEE_ENTITIES_UPDATE_LOG; DUAL","T_AUDITEE_ENTITIES; T_AUDITEE_ENTITIES_MAPING; AIS_T_AU_POST_COMPLIANCE; T_AU_PLAN_ENG; T_AUDITEE_ENTITIES_UPDATE_LOG"
"PKG_AD.P_INSERTENTITIEES","PKG_AD","P_INSERTENTITIEES","T_CURSOR; T_AUDITEE_ENTITIES","T_AUDITEE_ENTITIES; DUAL","T_AUDITEE_ENTITIES"
"PKG_AD.P_GETREALTIONSHIPTYPE","PKG_AD","P_GETREALTIONSHIPTYPE","T_CURSOR; V_GET_REALTIONSHIPTYPE","V_GET_REALTIONSHIPTYPE",""
"PKG_AD.P_GET_ENTITY_TYPE","PKG_AD","P_GET_ENTITY_TYPE","T_CURSOR; T_AUDITEE_ENT_TYPES","T_AUDITEE_ENT_TYPES",""
"PKG_AD.P_GET_AUDITED_BY","PKG_AD","P_GET_AUDITED_BY","T_CURSOR; T_AUDIT_DEPARTMENTS","T_AUDIT_DEPARTMENTS",""
"PKG_AD.P_GETPARENTREPOFFICE","PKG_AD","P_GETPARENTREPOFFICE","T_CURSOR; T_AUDITEE_ENT_RELATION; T_AUDITEE_ENT_TYPES; V_GET_PARENT_OFFICE","T_AUDITEE_ENT_RELATION",""
"PKG_AD.P_GETCHILDPOSTING","PKG_AD","P_GETCHILDPOSTING","T_CURSOR; T_AUDITEE_ENTITIES; V_GET_PARENT_OFFICE; T_AUDITEE_ENT_TYPES; T_AUDITEE_ENTITIES_MAPING","T_AUDITEE_ENTITIES; V_GET_PARENT_OFFICE; T_AUDITEE_ENT_TYPES; T_AUDITEE_ENTITIES_MAPING",""
"PKG_AD.P_GETAUDITZONES","PKG_AD","P_GETAUDITZONES","T_AUDITEE_ENTITIES; T_CURSOR","T_AUDITEE_ENTITIES",""
"PKG_AD.P_GETBRANCHES","PKG_AD","P_GETBRANCHES","T_CURSOR; V_SERVICE_BRANCH; V_SERVICE_ZONES","V_SERVICE_BRANCH",""
"PKG_AD.P_GETZONES","PKG_AD","P_GETZONES","T_CURSOR; T_AUDITEE_ENTITIES","T_AUDITEE_ENTITIES",""
"PKG_AD.P_GETZONESFORHOMOINTORING","PKG_AD","P_GETZONESFORHOMOINTORING","T_CURSOR; T_AUDITEE_ENTITIES; V_GET_PARENT_OFFICE; T_AUDITEE_ENTITIES_MAPING; T_AUDITEE_ENT_TYPES","T_AUDITEE_ENTITIES; V_GET_PARENT_OFFICE; T_AUDITEE_ENTITIES_MAPING; T_AUDITEE_ENT_TYPES",""
"PKG_AD.P_GETBRANCHSIZES","PKG_AD","P_GETBRANCHSIZES","T_CURSOR; T_AUDITEE_ENTITIES_SIZE_DISC","T_AUDITEE_ENTITIES_SIZE_DISC",""
"PKG_AD.P_GETCONTROLVIOLATIONS","PKG_AD","P_GETCONTROLVIOLATIONS","T_CURSOR; T_R_SUB_GROUP","T_R_SUB_GROUP",""
"PKG_AD.P_GETENTITEES_FOR_UPDATE","PKG_AD","P_GETENTITEES_FOR_UPDATE","T_CURSOR; T_AUDITEE_ENTITIES; T_RISK; T_AUDITEE_ENTITIES_SIZE_DISC; T_AUDITEE_ENTITIES_UPDATE_AZ","T_AUDITEE_ENTITIES; T_RISK; T_AUDITEE_ENTITIES_SIZE_DISC; T_AUDITEE_ENTITIES_UPDATE_AZ",""
"PKG_AD.P_GETENTITEES_FOR_UPDATE_COMP","PKG_AD","P_GETENTITEES_FOR_UPDATE_COMP","T_CURSOR; T_AUDITEE_ENTITIES_UPDATE_AZ; T_AUDITEE_ENTITIES; T_RISK; T_AUDITEE_ENTITIES_SIZE_DISC","T_AUDITEE_ENTITIES_UPDATE_AZ; T_AUDITEE_ENTITIES; T_RISK; T_AUDITEE_ENTITIES_SIZE_DISC",""
"PKG_AD.P_GETENTITEES_FOR_UPDATE_AUTHORIZATION","PKG_AD","P_GETENTITEES_FOR_UPDATE_AUTHORIZATION","T_CURSOR; T_AUDITEE_ENTITIES_UPDATE_AZ; T_AUDITEE_ENTITIES; T_RISK; T_AUDITEE_ENTITIES_SIZE_DISC","T_AUDITEE_ENTITIES_UPDATE_AZ; T_AUDITEE_ENTITIES; T_RISK; T_AUDITEE_ENTITIES_SIZE_DISC",""
"PKG_AD.P_UPDATE_ENTITIES","PKG_AD","P_UPDATE_ENTITIES","T_CURSOR; V_NEW_ID; V_PENDING_COUNT; T_AUDITEE_ENTITIES_UPDATE_AZ; T_AUDITEE_ENTITIES","T_AUDITEE_ENTITIES_UPDATE_AZ; T_AUDITEE_ENTITIES; DUAL","T_AUDITEE_ENTITIES_UPDATE_AZ; T_AUDITEE_ENTITIES; TO"
"PKG_AD.P_GETSUBENTITIES","PKG_AD","P_GETSUBENTITIES","T_CURSOR; T_AUDITEE_ENTITEE_SUBENTITY; T_AUDITEE_ENTITIES_MAPING","T_AUDITEE_ENTITEE_SUBENTITY; T_AUDITEE_ENTITIES_MAPING",""
"PKG_AD.P_ADDSUBENTITY","PKG_AD","P_ADDSUBENTITY","T_AUDITEE_ENTITEE_SUBENTITY","T_AUDITEE_ENTITEE_SUBENTITY","T_AUDITEE_ENTITEE_SUBENTITY"
"PKG_AD.P_UPDATESUBENTITY","PKG_AD","P_UPDATESUBENTITY","T_AUDITEE_ENTITEE_SUBENTITY","","T_AUDITEE_ENTITEE_SUBENTITY"
"PKG_AD.P_GETRISKS","PKG_AD","P_GETRISKS","T_CURSOR; T_RISK","T_RISK",""
"PKG_AD.P_GETRISKPROCESSDETAILS","PKG_AD","P_GETRISKPROCESSDETAILS","T_CURSOR; T_AUDIT_CHECKLIST; T_ID; T_AUDIT_CHECKLIST_SUB","T_AUDIT_CHECKLIST; T_AUDIT_CHECKLIST_SUB",""
"PKG_AD.P_GET_CHECKLIST_UPDATE_BYID","PKG_AD","P_GET_CHECKLIST_UPDATE_BYID","T_CURSOR; V_CHECKLIST_UPDATE_EXITING; V_CHECKLIST_UPDATE_PROPOSE","V_CHECKLIST_UPDATE_EXITING; V_CHECKLIST_UPDATE_PROPOSE",""
"PKG_AD.P_GET_SUB_CHECKLIST_UPDATE_BYID","PKG_AD","P_GET_SUB_CHECKLIST_UPDATE_BYID","T_CURSOR; T_ID; V_SUB_CHECKLIST_UPDATE_EXITING; V_SUB_CHECKLIST_UPDATE_PROPOSE","V_SUB_CHECKLIST_UPDATE_EXITING; V_SUB_CHECKLIST_UPDATE_PROPOSE",""
"PKG_AD.P_GET_CHECKLIST_UPDATE_BYID_REF","PKG_AD","P_GET_CHECKLIST_UPDATE_BYID_REF","T_CURSOR; V_CHECKLIST_UPDATE_EXITING; V_CHECKLIST_UPDATE_PROPOSE_ID","V_CHECKLIST_UPDATE_EXITING; V_CHECKLIST_UPDATE_PROPOSE_ID",""
"PKG_AD.P_GET_UPDATED_SUB_CHECKLIST_FOR_REVIEW","PKG_AD","P_GET_UPDATED_SUB_CHECKLIST_FOR_REVIEW","T_CURSOR; T_ID; T_AUDIT_CHECKLIST; T_AUDIT_CHECKLIST_SUB; T_AUDIT_CHECKLIST_SUB_CHANGE; V_SUB_CHECKLIST_REFFEREDBACK_COMMENTS; T_AUDIT_CHECKLIST_DETAILS_LOG","T_AUDIT_CHECKLIST; T_AUDIT_CHECKLIST_SUB; T_AUDIT_CHECKLIST_SUB_CHANGE; V_SUB_CHECKLIST_REFFEREDBACK_COMMENTS; T_AUDIT_CHECKLIST_DETAILS_LOG",""
"PKG_AD.P_GET_UPDATED_CHECKLIST_FOR_REVIEW","PKG_AD","P_GET_UPDATED_CHECKLIST_FOR_REVIEW","T_CURSOR; V_ID; V_NAME; T_AUDIT_CHECKLIST_DETAILS; T_AUDIT_CHECKLIST_DETAILS_CHANGE; T_AUDIT_CHECKLIST_SUB; T_AUDIT_CHECKLIST; T_ID; T_R_SUB_GROUP; T_HR_DESIGNATIONS; T_AUDITEE_ENTITIES; T_RISK; V_CHECKLIST_REFFEREDBACK_COMMENTS; T_AUDIT_CHECKLIST_DETAILS_LOG","T_AUDIT_CHECKLIST_DETAILS; T_AUDIT_CHECKLIST_DETAILS_CHANGE; T_AUDIT_CHECKLIST_SUB; T_AUDIT_CHECKLIST; T_R_SUB_GROUP; T_HR_DESIGNATIONS; T_AUDITEE_ENTITIES; T_RISK; V_CHECKLIST_REFFEREDBACK_COMMENTS; T_AUDIT_CHECKLIST_DETAILS_LOG",""
"PKG_AD.P_GET_SUB_CHECKLIST_MAKER","PKG_AD","P_GET_SUB_CHECKLIST_MAKER","T_CURSOR; T_ID; T_AUDIT_CHECKLIST_SUB; T_AUDIT_CHECKLIST; V_SUB_CHECKLIST_UPDATE_EXITING; V_SUB_CHECKLIST_REFFEREDBACK_COMMENTS; T_AUDIT_CHECKLIST_DETAILS_LOG","T_AUDIT_CHECKLIST_SUB; T_AUDIT_CHECKLIST; V_SUB_CHECKLIST_UPDATE_EXITING; V_SUB_CHECKLIST_REFFEREDBACK_COMMENTS; T_AUDIT_CHECKLIST_DETAILS_LOG",""
"PKG_AD.P_GETCHECKLISTDETAILBYSUBPROCESSID","PKG_AD","P_GETCHECKLISTDETAILBYSUBPROCESSID","T_CURSOR; V_ID; T_NAME; T_AUDIT_CHECKLIST_DETAILS; T_AUDIT_CHECKLIST_SUB; T_AUDIT_CHECKLIST_DETAILS_CHANGE","T_AUDIT_CHECKLIST_DETAILS; T_AUDIT_CHECKLIST_SUB; T_AUDIT_CHECKLIST_DETAILS_CHANGE",""
"PKG_AD.P_GETCHECKLISTDETAIL_REF","PKG_AD","P_GETCHECKLISTDETAIL_REF","T_CURSOR; T_ID; V_ID; T_NAME; T_AUDIT_CHECKLIST_DETAILS; T_AUDIT_CHECKLIST_SUB; T_AUDIT_CHECKLIST; T_AUDIT_CHECKLIST_DETAILS_CHANGE; V_CHECKLIST_REFFEREDBACK_COMMENTS; T_AUDIT_CHECKLIST_DETAILS_LOG","T_AUDIT_CHECKLIST_DETAILS; T_AUDIT_CHECKLIST_SUB; T_AUDIT_CHECKLIST; T_AUDIT_CHECKLIST_DETAILS_CHANGE; V_CHECKLIST_REFFEREDBACK_COMMENTS; T_AUDIT_CHECKLIST_DETAILS_LOG",""
"PKG_AD.P_AUDIT_CHECKLIST","PKG_AD","P_AUDIT_CHECKLIST","T_CURSOR; T_AU_ACTIVITY_LOG; T_AUDIT_CHECKLIST; T_ID","T_AU_ACTIVITY_LOG; T_AUDIT_CHECKLIST; DUAL","T_AU_ACTIVITY_LOG; T_AUDIT_CHECKLIST"
"PKG_AD.P_AUDIT_CHECKLIST_UPDATE","PKG_AD","P_AUDIT_CHECKLIST_UPDATE","T_CURSOR; T_AU_ACTIVITY_LOG; T_AUDIT_CHECKLIST; T_ID","T_AU_ACTIVITY_LOG; DUAL","T_AU_ACTIVITY_LOG; T_AUDIT_CHECKLIST"
"PKG_AD.P_AUDIT_CHECKLIST_SUB","PKG_AD","P_AUDIT_CHECKLIST_SUB","T_CURSOR; T_AU_ACTIVITY_LOG; T_AUDIT_CHECKLIST_SUB_CHANGE; T_AUDIT_CHECKLIST_SUB; T_ID; T_AUDIT_CHECKLIST_DETAILS_LOG","T_AU_ACTIVITY_LOG; T_AUDIT_CHECKLIST_SUB_CHANGE; T_AUDIT_CHECKLIST_SUB; T_AUDIT_CHECKLIST_DETAILS_LOG; DUAL","T_AU_ACTIVITY_LOG; T_AUDIT_CHECKLIST_SUB_CHANGE; T_AUDIT_CHECKLIST_SUB; T_AUDIT_CHECKLIST_DETAILS_LOG"
"PKG_AD.P_GET_CHECKLISTDETAIL_FOR_SUBCHECKLIST","PKG_AD","P_GET_CHECKLISTDETAIL_FOR_SUBCHECKLIST","T_CURSOR; T_AUDIT_CHECKLIST_DETAILS","T_AUDIT_CHECKLIST_DETAILS",""
"PKG_AD.P_AUDIT_CHECKLIST_SUB_UPDATE","PKG_AD","P_AUDIT_CHECKLIST_SUB_UPDATE","T_CURSOR; T_AU_ACTIVITY_LOG; T_AUDIT_CHECKLIST_SUB_CHANGE; T_ID; T_AUDIT_CHECKLIST_DETAILS_LOG","T_AU_ACTIVITY_LOG; T_AUDIT_CHECKLIST_DETAILS_LOG; DUAL","T_AU_ACTIVITY_LOG; T_AUDIT_CHECKLIST_SUB_CHANGE; T_AUDIT_CHECKLIST_DETAILS_LOG"
"PKG_AD.P_GET_ANNEXURE_PROCESS","PKG_AD","P_GET_ANNEXURE_PROCESS","T_CURSOR; T_AUDIT_CHECKLIST_ANNEXURE_PROCESS","T_AUDIT_CHECKLIST_ANNEXURE_PROCESS",""
"PKG_AD.P_GET_ANNEXURE","PKG_AD","P_GET_ANNEXURE","T_CURSOR; T_AUDIT_CHECKLIST_ANNEXURE; T_AUDIT_CHECKLIST_ANNEXURE_PROCESS; T_RISK; T_AUDITEE_ENTITIES","T_AUDIT_CHECKLIST_ANNEXURE; T_AUDIT_CHECKLIST_ANNEXURE_PROCESS; T_RISK; T_AUDITEE_ENTITIES",""
"PKG_AD.P_UPDATE_ANNEXURE","PKG_AD","P_UPDATE_ANNEXURE","T_CURSOR; T_AUDIT_CHECKLIST_ANNEXURE; T_AU_OBSERVATION; AIS_T_AU_POST_COMPLIANCE; T_AU_OLD_PARAS_FAD","DUAL","T_AUDIT_CHECKLIST_ANNEXURE; T_AU_OBSERVATION; AIS_T_AU_POST_COMPLIANCE; T_AU_OLD_PARAS_FAD"
"PKG_AD.P_ADD_ANNEXURE","PKG_AD","P_ADD_ANNEXURE","T_CURSOR; T_AUDIT_CHECKLIST_ANNEXURE","T_AUDIT_CHECKLIST_ANNEXURE; DUAL","T_AUDIT_CHECKLIST_ANNEXURE"
"PKG_AD.P_AUDIT_CHECKLIST_DETAIL","PKG_AD","P_AUDIT_CHECKLIST_DETAIL","T_CURSOR; T_AU_ACTIVITY_LOG; T_AUDIT_CHECKLIST_DETAILS_CHANGE; T_AUDIT_CHECKLIST_DETAILS; V_ID; T_AUDIT_CHECKLIST_DETAILS_LOG; T_ID","T_AU_ACTIVITY_LOG; T_AUDIT_CHECKLIST_DETAILS_CHANGE; T_AUDIT_CHECKLIST_DETAILS; T_AUDIT_CHECKLIST_DETAILS_LOG; DUAL","T_AU_ACTIVITY_LOG; T_AUDIT_CHECKLIST_DETAILS_CHANGE; T_AUDIT_CHECKLIST_DETAILS; T_AUDIT_CHECKLIST_DETAILS_LOG"
"PKG_AD.AUDIT_CHECKLIST_DETAIL_UPDATE","PKG_AD","AUDIT_CHECKLIST_DETAIL_UPDATE","T_CURSOR; T_AU_ACTIVITY_LOG; T_AUDIT_CHECKLIST_DETAILS_CHANGE; T_AUDIT_CHECKLIST_DETAILS_LOG; T_ID; T_AUDIT_CHECKLIST_DETAILS","T_AU_ACTIVITY_LOG; T_AUDIT_CHECKLIST_DETAILS_LOG; T_AUDIT_CHECKLIST_DETAILS; DUAL","T_AU_ACTIVITY_LOG; T_AUDIT_CHECKLIST_DETAILS_CHANGE; T_AUDIT_CHECKLIST_DETAILS_LOG"
"PKG_AD.P_RECOMMEND_CHECKLIST_BY_REVIEWER","PKG_AD","P_RECOMMEND_CHECKLIST_BY_REVIEWER","T_ID; T_CURSOR; T_AUDIT_CHECKLIST_DETAILS_CHANGE; T_AU_ACTIVITY_LOG; T_AUDIT_CHECKLIST_DETAILS_LOG","T_AU_ACTIVITY_LOG; T_AUDIT_CHECKLIST_DETAILS_LOG; DUAL","T_AUDIT_CHECKLIST_DETAILS_CHANGE; T_AU_ACTIVITY_LOG; T_AUDIT_CHECKLIST_DETAILS_LOG"
"PKG_AD.P_REFFEREDBACK_CHECKLIST_BY_REVIEWER","PKG_AD","P_REFFEREDBACK_CHECKLIST_BY_REVIEWER","T_ID; T_CURSOR; T_AU_ACTIVITY_LOG; T_AUDIT_CHECKLIST_DETAILS_CHANGE; T_AUDIT_CHECKLIST_DETAILS_LOG","T_AU_ACTIVITY_LOG; T_AUDIT_CHECKLIST_DETAILS_LOG; DUAL","T_AU_ACTIVITY_LOG; T_AUDIT_CHECKLIST_DETAILS_CHANGE; T_AUDIT_CHECKLIST_DETAILS_LOG"
"PKG_AD.P_REFFEREDBACK_SUB_CHECKLIST_BY_REVIEWER","PKG_AD","P_REFFEREDBACK_SUB_CHECKLIST_BY_REVIEWER","T_CURSOR; T_AUDIT_CHECKLIST_SUB_CHANGE; T_AUDIT_CHECKLIST_DETAILS_LOG","T_AUDIT_CHECKLIST_DETAILS_LOG; DUAL","T_AUDIT_CHECKLIST_SUB_CHANGE; T_AUDIT_CHECKLIST_DETAILS_LOG"
"PKG_AD.P_APPROVED_SUB_PROCESS_BY_AUTHORIZER","PKG_AD","P_APPROVED_SUB_PROCESS_BY_AUTHORIZER","T_CURSOR; V_F; T_AU_ACTIVITY_LOG; T_AUDIT_CHECKLIST_SUB_CHANGE; T_ID; T_AUDIT_CHECKLIST_SUB; T_AUDIT_CHECKLIST_DETAILS_LOG","T_AU_ACTIVITY_LOG; DUAL; T_AUDIT_CHECKLIST_SUB_CHANGE; T_AUDIT_CHECKLIST_DETAILS_LOG","T_AU_ACTIVITY_LOG; T_AUDIT_CHECKLIST_SUB_CHANGE; T_AUDIT_CHECKLIST_SUB; T_AUDIT_CHECKLIST_DETAILS_LOG"
"PKG_AD.P_REFFEREDBACK_CHECKLIST_BY_AUTHORIZER","PKG_AD","P_REFFEREDBACK_CHECKLIST_BY_AUTHORIZER","T_ID; T_CURSOR; T_AU_ACTIVITY_LOG; T_AUDIT_CHECKLIST_DETAILS_CHANGE; T_AUDIT_CHECKLIST_DETAILS_LOG","T_AU_ACTIVITY_LOG; T_AUDIT_CHECKLIST_DETAILS_LOG; DUAL","T_AU_ACTIVITY_LOG; T_AUDIT_CHECKLIST_DETAILS_CHANGE; T_AUDIT_CHECKLIST_DETAILS_LOG"
"PKG_AD.P_APPROVE_CHECKLIST_BY_AUTHORIZER","PKG_AD","P_APPROVE_CHECKLIST_BY_AUTHORIZER","T_ID; T_CURSOR; V_F; T_AU_ACTIVITY_LOG; T_AUDIT_CHECKLIST_DETAILS; T_AUDIT_CHECKLIST_DETAILS_CHANGE; V_ID; T_AU_OBSERVATION; T_AUDIT_CHECKLIST_DETAILS_LOG","T_AU_ACTIVITY_LOG; T_AUDIT_CHECKLIST_DETAILS; T_AUDIT_CHECKLIST_DETAILS_CHANGE; T_AUDIT_CHECKLIST_DETAILS_LOG; DUAL","T_AU_ACTIVITY_LOG; T_AUDIT_CHECKLIST_DETAILS_CHANGE; T_AUDIT_CHECKLIST_DETAILS; T_AU_OBSERVATION; T_AUDIT_CHECKLIST_DETAILS_LOG"
"PKG_AD.P_GETLATESTCOMMENTSONPROCESS","PKG_AD","P_GETLATESTCOMMENTSONPROCESS","T_CURSOR; T_AUDIT_CHECKLIST_DETAILS_LOG; T_ID","T_AUDIT_CHECKLIST_DETAILS_LOG",""
"PKG_AD.P_GET_AUDIT_TEAM_POSTCHANGES","PKG_AD","P_GET_AUDIT_TEAM_POSTCHANGES","T_CURSOR; T_NAME; T_AU_AUDIT_TEAM_TASKLIST; T_AU_TEAM_MEMBERS; T_ID; T_AU_AUDIT_TEAMS; T_AU_PLAN_ENG","T_AU_AUDIT_TEAM_TASKLIST; T_AU_TEAM_MEMBERS; T_AU_AUDIT_TEAMS; T_AU_PLAN_ENG",""
"PKG_AD.P_AUDIT_TEAM_POSTCHANGES","PKG_AD","P_AUDIT_TEAM_POSTCHANGES","T_CURSOR; T_AU_AUDIT_TEAMS; T_NAME; T_CODE; T_AU_AUDIT_TEAM_TASKLIST; T_AU_TEAM_MEMBERS; T_ID; T_AU_PLAN_ENG; T_AUDITEE_ENTITIES","T_AU_AUDIT_TEAMS; T_AU_AUDIT_TEAM_TASKLIST; T_AU_TEAM_MEMBERS; T_AU_PLAN_ENG; T_AUDITEE_ENTITIES; DUAL","T_AU_AUDIT_TEAMS; T_AU_AUDIT_TEAM_TASKLIST; T_AU_PLAN_ENG"
"PKG_AD.P_GET_AUDIT_ENGAGEMENT","PKG_AD","P_GET_AUDIT_ENGAGEMENT","T_CURSOR; T_NAME; T_AU_PLAN_ENG; T_AU_PERIOD; T_AU_PLAN; T_AU_PLAN_ENG_STATUS; T_AU_AUDIT_TEAMS","T_AU_PLAN_ENG; T_AU_PERIOD; T_AU_PLAN; T_AU_PLAN_ENG_STATUS; T_AU_AUDIT_TEAMS",""
"PKG_AD.P_GET_AUDIT_ENGAGEMENT_STATUS","PKG_AD","P_GET_AUDIT_ENGAGEMENT_STATUS","T_CURSOR; V_F; T_AU_PLAN_ENG; T_AU_PLAN_ENG_STATUS","T_AU_PLAN_ENG; T_AU_PLAN_ENG_STATUS",""
"PKG_AD.P_AUDIT_ENGAGEMENT_REVERSAL","PKG_AD","P_AUDIT_ENGAGEMENT_REVERSAL","T_CURSOR; V_F; T_AU_PLAN_ENG; T_AU_PLAN; T_AU_AUDIT_TEAM_TASKLIST; T_AU_AUDIT_TEAMS; T_AU_PLAN_ENG_LOG","T_AU_PLAN_ENG; T_AU_AUDIT_TEAM_TASKLIST; T_AU_AUDIT_TEAMS; T_AU_PLAN_ENG_LOG; DUAL","T_AU_PLAN; T_AU_PLAN_ENG; T_AU_AUDIT_TEAM_TASKLIST; T_AU_AUDIT_TEAMS; T_AU_PLAN_ENG_LOG"
"PKG_AD.P_GET_AUDIT_OBSERVTION_STATUS","PKG_AD","P_GET_AUDIT_OBSERVTION_STATUS","T_CURSOR; T_AU_OBSERVATION_STATUS","T_AU_OBSERVATION_STATUS",""
"PKG_AD.P_GET_AUDIT_OBSERVTION","PKG_AD","P_GET_AUDIT_OBSERVTION","T_CURSOR; T_AU_OBSERVATION; T_AU_OBSERVATION_STATUS; T_AU_OBSERVATION_ASSIGNEDTO; T_AU_OBSERVATION_TEXT; T_AUDITEE_ENTITIES; T_RISK","T_AU_OBSERVATION; T_AU_OBSERVATION_STATUS; T_AU_OBSERVATION_ASSIGNEDTO; T_AU_OBSERVATION_TEXT; T_AUDITEE_ENTITIES; T_RISK",""
